"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"106",2662,11,"fweikl",1,"HoliSoils","2025-04-19T10:59:59.001894Z","2022-05-05","submitted","KraS incl tomst data","undetermined","KraS_22_05_05.csv","undetermined","KraS_22_05_05_ghg_field_forml.xlsx","","",FALSE,TRUE
"107",2663,11,"fweikl",1,"HoliSoils","2025-04-19T11:00:20.660091Z","2022-05-12","submitted","KraS incl tomst data","undetermined","KraS_22_05_12.csv","undetermined","KraS_22_05_12_ghg_field_forml.xlsx","","",FALSE,TRUE
"108",2664,11,"fweikl",1,"HoliSoils","2025-04-19T11:00:44.572722Z","2022-05-05","submitted","KraS incl tomst data","undetermined","KraS_22_05_19.csv","undetermined","KraS_22_05_19_ghg_field_forml.xlsx","","",FALSE,TRUE
"109",2665,11,"fweikl",1,"HoliSoils","2025-04-19T11:01:07.129166Z","2022-06-15","submitted","KraS incl tomst data","undetermined","KraS_22_06_15.csv","undetermined","KraS_22_06_15_ghg_field_forml.xlsx","","",FALSE,TRUE
"110",2666,11,"fweikl",1,"HoliSoils","2025-04-19T11:01:26.444953Z","2022-06-21","submitted","KraS incl tomst data","undetermined","KraS_22_06_21.csv","undetermined","KraS_22_06_21_ghg_field_forml.xlsx","","",FALSE,TRUE
"111",2667,11,"fweikl",1,"HoliSoils","2025-04-19T11:01:47.471373Z","2022-07-06","submitted","KraS incl tomst data","undetermined","KraS_22_07_06.csv","undetermined","KraS_22_07_06_ghg_field_forml.xlsx","","",FALSE,TRUE
"112",2668,11,"fweikl",1,"HoliSoils","2025-04-19T11:02:20.408731Z","2022-07-20","submitted","KraS incl tomst data","undetermined","KraS_22_07_20.csv","undetermined","KraS_22_07_20_ghg_field_form.xlsx","","",FALSE,TRUE
"113",2669,11,"fweikl",1,"HoliSoils","2025-04-19T11:02:41.092614Z","2022-08-05","submitted","KraS incl tomst data","undetermined","KraS_22_08_05.csv","undetermined","KraS_22_08_05_ghg_field_form.xlsx","","",FALSE,TRUE
"114",2670,11,"fweikl",1,"HoliSoils","2025-04-19T11:03:04.911399Z","2022-08-19","submitted","KraS incl tomst data","undetermined","KraS_22_08_19.csv","undetermined","KraS_22_08_19_ghg_field_form.xlsx","","",FALSE,TRUE
"115",2671,11,"fweikl",1,"HoliSoils","2025-04-19T11:03:29.183355Z","2022-09-02","submitted","KraS incl tomst data","undetermined","KraS_22_09_02.csv","undetermined","KraS_22_09_02_ghg_field_form.xlsx","","",FALSE,TRUE
"116",2672,11,"fweikl",1,"HoliSoils","2025-04-19T11:03:55.970269Z","2022-09-19","submitted","KraS incl tomst data","undetermined","KraS_22_09_19.csv","undetermined","KraS_22_09_19_ghg_field_form.xlsx","","",FALSE,TRUE
"117",2673,11,"fweikl",1,"HoliSoils","2025-04-19T11:04:44.652303Z","2022-10-13","submitted","KraS incl tomst data","undetermined","KraS_22_10_13.csv","undetermined","KraS_22_10_13_ghg_field_form.xlsx","","",FALSE,TRUE
